"leaid","totenrl","perblk","perwht","perecd"
100005,1971.75,0.0215166351313334,0.600633642711861,0.625294281686737
100006,2478.375,0.0100102528697995,0.83428397908072,0.724648446978626
100007,5684.875,0.23501085617097,0.637090918207096,0.23551040861081
100008,4122.875,0.203473935206413,0.667295461652417,0.20399606424944
100011,774.75,0.240617717336948,0.626801015753095,0.572084197217959
100012,1029.875,0.0166545741495223,0.764981838066909,0.635229327474926
100013,1996.625,0.101255832530432,0.865396639597149,0.10581488532602
100030,1445.125,0.384267990286028,0.574133061172437,0.592627224298243
100060,800.5,0.332586568410962,0.633288347977463,0.566990129916526
100090,973,0.919168043500869,0.0549318909926865,0.880145960338156
100100,1145.375,0.0023738202780716,0.971593303598825,0.359539937062542
100120,1511,0.254033076968524,0.595517661285929,0.525037840069017
100180,711.5,0.174027276979587,0.754350409132657,0.743594638756898
100185,1121.625,0.161202816558051,0.797582816811513,0.544261023150758
100188,245.75,0.739480208504558,0.240283716178801,0.815489084060543
100189,605.25,0.0949980770339237,0.87415997808258,0.466846453671655
100190,2887.625,0.177600590826043,0.662850133087813,0.379071700235121
100194,1452.5,0.122144127056999,0.52637554404216,0.42487154336803
100210,3160.875,0.257914694700084,0.627002555100352,0.281554934245726
100240,4519.625,0.240790128242154,0.718597649042069,0.463044026376566
100270,13365.5,0.136437131048439,0.794396946567893,0.469784375266158
100300,444,0.834625327830967,0.071385289802008,0.953667134755703
100330,1999.25,0.924756303867584,0.0258779291598515,0.867642788278798
100360,1616.25,0.218927811972476,0.761230267402747,0.654605878424741
100390,10590.875,0.952518334634874,0.0107829307270716,0.836001165582911
100420,3919,0.0113287826233981,0.863973548326973,0.56489300846778
100450,543,0.384119769889958,0.597427309085124,0.501978391030112
100480,680.5,0.895126921211214,0.0096408842514654,0.908720984860424
100510,1482.125,0.626725052247374,0.357639400305393,0.798826795700249
100540,4380.375,0.13746963387837,0.826669039420603,0.599343683680117
100600,1779.25,0.474046130376223,0.505196282500533,0.717033517249806
100630,1906.375,0.054707301829659,0.85881042055227,0.644254636132315
100660,3654.875,0.120349996977312,0.769250542402651,0.640825422922763
100690,804.5,0.651806669950127,0.336962502127697,0.763554631859408
100720,1425,0.641604949074481,0.344552043839294,0.704456562539767
100750,808.125,0.193346466473004,0.760043426995701,0.687187185439209
100780,1198,0.04972041448147,0.927459797021192,0.623250941479932
100810,942.125,0.0515128675978513,0.910245850100782,0.575336840348623
100840,1256.375,0.11712122473107,0.845707650865441,0.701448426185775
100870,724.125,0.827974137040793,0.165728303657477,0.926917048893694
100900,547.75,0.444296966185658,0.534545932888392,0.758432216331455
100930,1313.125,0.0589765298277774,0.92602345938058,0.613019945561807
100960,1046.375,0.32194986501663,0.645454191054662,0.649730404195926
100990,1403.125,0.0071299692062244,0.902255137555245,0.368064714502111
101020,4517.625,0.0129152912505966,0.922684514830497,0.624125127761771
101050,1426,0.166574129359913,0.801232206347073,0.579757156908137
101080,546.75,0.35035550703925,0.513673698127596,0.685496923497833
101110,1675.625,0.761360109799371,0.233434988833198,0.822741399479498
101140,3912.375,0.0105630685334738,0.637090920851462,0.699449242543199
101170,3952.5,0.333218051352166,0.448383381568003,0.615485361261959
101200,1084.375,0.490356765994513,0.473741896051762,0.607800093280711
101230,4323.375,0.554400442904478,0.391956861596933,0.649963531929627
101260,340,0.463711769381385,0.489897459544697,0.691308033657191
101290,5093.625,0.261050729074983,0.699605844222184,0.53238537401057
101320,2935,0.232442640203466,0.643523870282336,0.426289254537435
101350,2153.875,0.413368144032615,0.517057036814624,0.779442002986629
101380,4231.125,0.0286023361030527,0.931653796383428,0.525787053216042
101410,1241.5,0.555578123879916,0.391537599713374,0.716859875160554
101440,858.75,0.983693361772408,0.0024044173964608,0.850408193015727
101470,1119.875,0.145354388556677,0.843038981587636,0.602021034008499
101530,1930.125,0.371646111228795,0.548511115490194,0.623126453357216
101560,1389.625,0.0442834618689833,0.600661418061667,0.650591027056683
101590,1510.375,0.0109221705022155,0.886921273505493,0.674102261081139
101620,2432.125,0.490088409586756,0.40702285474789,0.74930804064906
101640,583,0.126535557997352,0.852651113085341,0.577849503716364
101660,1301.5,0.142570066997266,0.784178163442352,0.65373636201859
101680,604,0.992284522359761,0.0020056489699793,0.943783849270413
101690,907.5,0.0789349105627424,0.836866257184956,0.4549180688834
101710,1225.875,0.714181719675853,0.273723471227565,0.791625149636342
101720,779.375,0.0154889461583428,0.91314700741019,0.602928223212301
101730,1272.75,0.0461644137367691,0.913805799912477,0.320772415785955
101740,1277.625,0.34717885762965,0.61510911047583,0.636912211990765
101760,1709.875,0.249063080437478,0.617196068864692,0.28958552344602
101770,3014.375,0.162057545048301,0.799674276853732,0.623025127542274
101800,9908.375,0.425363861319097,0.467268815209537,0.500508872153058
101830,2680.375,0.034056955016688,0.854464013864597,0.676960109801042
101860,757.5,0.305981887720615,0.655964226324191,0.523981600620049
101890,1233.25,0.195347752288395,0.747250031012111,0.48057747756716
101920,15287.75,0.426644699151373,0.503671240287993,0.570499244914451
101950,1123,0.145581382052639,0.839735832110257,0.610700486567011
101980,402,0.870124330749355,0.102634455768883,0.927279249513402
102010,3997.125,0.0264709835206301,0.950712782269286,0.479405491322907
102040,2291.4375,0.122914720356981,0.74338885036216,0.616015797899044
102070,4375.75,0.23015389594976,0.724690812414137,0.566350386505209
102100,4113.25,0.0887667363726431,0.822921716789567,0.487496913469988
102130,212.875,0.951897970376174,0.0324439635537849,0.876550167183975
